Number,Name,Position,Height,Class,Season,Team,Weight
0,Dominic Pereira,GK,6' 5'',Fy.,2024,Northwestern,
1,Rafael Ponce de León,GK,6' 3'',Jr.,2024,Northwestern,
2,Brandon Clagette,D,5' 8'',Gr.,2024,Northwestern,
3,Ibrahim Obeid,D,6' 0'',Sr.,2024,Northwestern,
4,Collin McCamy,M,6' 2'',Sr.,2024,Northwestern,
5,Reese Mayer,D,6' 2'',Gr.,2024,Northwestern,
6,Jason Gajadhar,M,5' 10'',Jr.,2024,Northwestern,
7,Paul Son,M,5' 10'',Sr.,2024,Northwestern,
8,Joe Suchecki,M,6' 4'',Gr.,2024,Northwestern,
9,Christopher Thaggard,F,5' 10'',Jr.,2024,Northwestern,
10,Thaddaeus Dewing,F,5' 11'',Gr.,2024,Northwestern,
11,Jayvin Van Deventer,M,5' 9'',Jr.,2024,Northwestern,
12,Nigel Prince,D,6' 2'',Jr.,2024,Northwestern,
13,Luke Shreiner,D,6' 4'',Fy.,2024,Northwestern,
14,Bryce LeBel,D,5' 11'',Gr.,2024,Northwestern,
16,Peter Riesz,M,6' 3'',So.,2024,Northwestern,
17,Akinjide Awujo,F,6' 0'',R-Sr.,2024,Northwestern,
19,Fritz Volmar,D,6' 0'',So.,2024,Northwestern,
20,Henri Richter,M,6' 0'',Jr.,2024,Northwestern,
21,James Spatzek,M,5' 9'',So.,2024,Northwestern,
22,Aidan O'Neill,M,5' 10'',Fy.,2024,Northwestern,
23,Italo Addimandi,F,5' 10'',So.,2024,Northwestern,
24,Michael Ramirez,F,5' 10'',Fy.,2024,Northwestern,
25,Gregory Cook,F,5' 11'',So.,2024,Northwestern,
26,Bryant Mayer,D,6' 1'',So.,2024,Northwestern,
27,Jude Bosshardt,GK,6' 4'',So.,2024,Northwestern,
28,Tyler Glassberg,M,6' 0'',So.,2024,Northwestern,
29,Danh Tran,M,5' 11'',Sr.,2024,Northwestern,
1,Jackson Weyman,GK,6' 3'',Gr.,2023,Northwestern,
2,Brandon Clagette,D,5' 8'',Sr.,2023,Northwestern,
3,Ibrahim Obeid,D,6' 0'',Jr.,2023,Northwestern,
4,Collin McCamy,M,6' 2'',Jr.,2023,Northwestern,
5,Reese Mayer,D,6' 2'',Gr.,2023,Northwestern,
6,Jason Gajadhar,M,5' 10'',So.,2023,Northwestern,
7,Paul Son,M,5' 10'',Jr.,2023,Northwestern,
8,Kai Reis,F,6' 2'',Fy.,2023,Northwestern,
9,Christopher Thaggard,F,5' 10'',So.,2023,Northwestern,
10,Justin Weiss,F,5' 9'',Sr.,2023,Northwestern,
11,Jayvin Van Deventer,M,5' 9'',So.,2023,Northwestern,
12,Nigel Prince,D,6' 2'',So.,2023,Northwestern,
13,Rom Brown,M,6' 2'',Sr.,2023,Northwestern,
14,Tyler Warren,D,5' 9'',Sr.,2023,Northwestern,
15,Owen Noverr,D,6' 4'',Fy.,2023,Northwestern,
16,Peter Riesz,M,6' 3'',Fy.,2023,Northwestern,
17,Brett Chrisman,M,5' 10'',Sr.,2023,Northwestern,
18,Joseph Arena,M,5' 9'',Sr.,2023,Northwestern,
19,Fritz Volmar,D,6' 0'',Fy.,2023,Northwestern,
20,Henri Richter,M,6' 0'',So.,2023,Northwestern,
21,James Spatzek,M,5' 9'',Fy.,2023,Northwestern,
22,Ugo Achara Jr.,F,6' 1'',Gr.,2023,Northwestern,
23,Italo Addimandi,F,5' 10'',Fy.,2023,Northwestern,
25,Gregory Cook,F,5' 11'',Fy.,2023,Northwestern,
26,Bryant Mayer,D,6' 1'',Fy.,2023,Northwestern,
27,Jude Bosshardt,GK,6' 4'',Fy.,2023,Northwestern,
28,Tyler Glassberg,M,6' 0'',Fy.,2023,Northwestern,
29,Danh Tran,M,5' 11'',Jr.,2023,Northwestern,
0,Christian Garner,GK,6' 0'',Gr.,2022,Northwestern,
1,Paul Walters,GK,6' 3'',Fy.,2022,Northwestern,
2,Brandon Clagette,D,5' 8'',So.,2022,Northwestern,
3,Ibrahim Obeid,D,6' 0'',So.,2022,Northwestern,
4,Collin McCamy,M,6' 2'',So.,2022,Northwestern,
5,Ethan Dudley,D,6' 4'',Gr.,2022,Northwestern,
6,Justin Weiss,F,5' 9'',Jr.,2022,Northwestern,
7,Bardia Kimiavi,M,5' 7'',Gr.,2022,Northwestern,
8,Andrew Stevens,M,6' 2'',Gr.,2022,Northwestern,
9,Christopher Thaggard,F,5' 10'',Fy.,2022,Northwestern,
10,Vicente Castro,M,5' 11'',Sr.,2022,Northwestern,
11,Eric Smits,M,5' 8'',Sr.,2022,Northwestern,
12,Logan Weaver,M,5' 11'',Sr.,2022,Northwestern,
13,Rom Brown,M,6' 2'',Jr.,2022,Northwestern,
14,Tyler Warren,D,5' 9'',Jr.,2022,Northwestern,
15,Darley Florvil,M,5' 7'',So.,2022,Northwestern,
16,Alex Gordon,M,5' 11'',Sr.,2022,Northwestern,
17,Brett Chrisman,M,5' 10'',So.,2022,Northwestern,
18,Joseph Arena,M,5' 9'',Jr.,2022,Northwestern,
19,Paul Son,M,5' 10'',So.,2022,Northwestern,
20,Henri Richter,M,6' 0'',Fy.,2022,Northwestern,
21,Jack Ratterman,D,6' 3'',Sr.,2022,Northwestern,
22,Jayson Cyrus,D,5' 10'',Sr.,2022,Northwestern,
24,Deng Deng Kur,D/M,6' 3'',Sr.,2022,Northwestern,
25,Nigel Prince,D,6' 2'',Fy.,2022,Northwestern,
26,Jayvin Van Deventer,M,5' 9'',Fy.,2022,Northwestern,
27,Kevin Klausz,GK,6' 0'',Sr.,2022,Northwestern,
28,Jason Gajadhar,M,5' 10'',Fy.,2022,Northwestern,
29,Danh Tran,M,5' 11'',So.,2022,Northwestern,
0,Ethan Bandre,GK,6' 2'',Gr.,2021,Northwestern,
1,Miha Miskovic,GK,6' 3'',Gr.,2021,Northwestern,
2,Quinn Dudek,D,6' 0'',Gr.,2021,Northwestern,
3,Ibrahim Obeid,D,6' 0'',Fy.,2021,Northwestern,
4,Collin McCamy,M,6' 2'',Fy.,2021,Northwestern,
5,Richie Bennett,M,6' 0'',Sr.,2021,Northwestern,
6,Justin Weiss,F,5' 9'',So.,2021,Northwestern,
7,Bardia Kimiavi,M,5' 7'',Sr.,2021,Northwestern,
8,Spencer Howard,F,6' 2'',Gr.,2021,Northwestern,
9,Jose Del Valle,F,6' 3'',Sr.,2021,Northwestern,
10,Vicente Castro,M,5' 11'',Jr.,2021,Northwestern,
11,Eric Smits,M,5' 8'',Jr.,2021,Northwestern,
12,Logan Weaver,M,5' 11'',Jr.,2021,Northwestern,
13,Connor McCabe,M,5' 10'',Sr.,2021,Northwestern,
14,Tyler Warren,D,5' 9'',So.,2021,Northwestern,
15,Darley Florvil,M,5' 7'',Fy.,2021,Northwestern,
16,Alex Gordon,M,5' 11'',Jr.,2021,Northwestern,
17,Rom Brown,M,6' 2'',So.,2021,Northwestern,
18,Joseph Arena,M,5' 9'',So.,2021,Northwestern,
19,Paul Son,M,5' 10'',Fy.,2021,Northwestern,
21,Jack Ratterman,D,6' 3'',Jr.,2021,Northwestern,
22,Jayson Cyrus,D,5' 10'',Jr.,2021,Northwestern,
23,Spencer Farina,D,6' 3'',Gr.,2021,Northwestern,
24,Deng Deng Kur,D/M,6' 3'',Jr.,2021,Northwestern,
25,Julian Zighelboim,D,6' 1'',Sr.,2021,Northwestern,
27,Kevin Klausz,GK,6' 0'',Jr.,2021,Northwestern,
28,Caden Theobald,M,5' 8'',Fy.,2021,Northwestern,
29,Danh Tran,M,5' 11'',Fy.,2021,Northwestern,
0,Alex Kara,Goalkeeper,6' 4'',R-Fr.,2024,Indiana,185
1,JT Harms,Goalkeeper,6' 1'',Sr.+,2024,Indiana,181
2,Quinton Elliot,Defender,5' 10'',Jr.,2024,Indiana,155
