player_name,home_team,away_team,year,team,Match,Competition,Date,Position,Minutes played,total_actions,successful_actions,goals,assists,shots,shots_on_target,xg,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,dribbles,successful_dribbles,total_duels,total_duels_won,aerial_duels,aerial_duels_won,interceptions,losses,losses_in_own_half,recoveries,recoveries_in_own_half,minute_yellow_card_received,minute_red_card_received,defensive_duels,defensive_duels_won,loose_ball_duels,loose_ball_duels_won,slide_tackles_attempted,slide_tackles_won,clearances,fouls,yellow_cards,red_cards,shot_assists,offensive_duels,offensive_duels,touches_inside_box,offsides,progressive_runs_attempted,fouls_drawn,through_passes_attempted,through_passes_completed,xa,second_assists,passes_into_final_third,passes_into_final_third_completed,passes_into_box,passes_into_box_completed,received_passes,forward_passes,forward_passes,back_passes,back_passes,gk_stat_conceded_goals,gk_stat_xcg,gk_stat_shots_against,gk_stat_saves,gk_stat_reflex_saves,gk_stat_box_exits,gk_stat_passes_to_gk,gk_stat_passes_to_gk_completed,gk_stat_goal_kicks_attempted,gk_stat_short_goal_kicks,gk_stat_long_goal_kicks
T. Ratoviz,Maryland College Park Terrapins,UCLA Bruins,2024,UCLA Bruins,Maryland College Park Terrapins - UCLA Bruins 0:6,United States. NCAA D1 Big Ten,11/7/24,RCMF3,37,37,32,0,1,0,0,0,29,28,1,1,0,0,1,1,8,4,0,0,1,4,3,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,1,4,4,0,0,23,8,7,2,2,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,UCLA Bruins,Washington Huskies,2024,UCLA Bruins,UCLA Bruins - Washington Huskies 0:1,United States. NCAA D1 Big Ten,11/3/24,"LCMF, LW",42,37,18,0,0,0,0,0,20,13,0,0,2,0,0,0,14,5,3,1,1,6,2,2,0,0,0,6,3,0,0,0,0,0,2,0,0,0,5,1,0,0,0,1,0,0,0,0,2,2,2,0,10,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,UCLA Bruins,Indiana Hoosiers,2024,UCLA Bruins,UCLA Bruins - Indiana Hoosiers 1:2,United States. NCAA D1 Big Ten,10/26/24,CF,50,42,25,0,1,1,1,0.06,16,14,0,0,0,0,1,1,22,10,4,2,0,6,1,5,2,0,0,9,6,2,0,0,0,0,3,0,0,1,7,2,2,0,1,1,0,0,0.13,0,3,2,0,0,10,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,Maryland College Park Terrapins,UCLA Bruins,2024,UCLA Bruins,Maryland College Park Terrapins - UCLA Bruins 1:1,United States. NCAA D1 Big Ten,10/22/24,RCMF,45,31,16,1,0,1,1,0.25,17,12,0,0,0,0,0,0,9,3,1,0,3,8,1,6,3,0,0,2,0,1,1,0,0,0,1,0,0,0,5,2,2,0,0,1,0,0,0,0,3,2,1,0,14,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,Rutgers Scarlet Knights,UCLA Bruins,2024,UCLA Bruins,Rutgers Scarlet Knights - UCLA Bruins 0:3,United States. NCAA D1 Big Ten,10/19/24,RW,28,32,20,0,0,1,0,0.01,22,19,1,0,0,0,1,0,7,1,0,0,0,7,2,4,0,63,0,4,1,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,6,5,0,0,19,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,Penn State Nittany Lion,UCLA Bruins,2024,UCLA Bruins,Penn State Nittany Lion - UCLA Bruins 2:2,United States. NCAA D1 Big Ten,10/5/24,0,9,6,3,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,97,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,UCLA Bruins,Michigan State Spartans,2024,UCLA Bruins,UCLA Bruins - Michigan State Spartans 0:1,United States. NCAA D1 Big Ten,9/28/24,0,19,23,16,0,0,0,0,0,17,14,1,0,1,0,1,1,6,2,0,0,0,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,1,1,0,0,15,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,UCLA Bruins,Westmont Warriors,2024,UCLA Bruins,UCLA Bruins - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,9/25/24,AMF,62,50,32,0,0,1,0,0.06,29,24,1,1,1,0,2,1,14,6,1,1,1,8,1,6,5,0,0,5,1,0,0,0,0,0,2,0,0,2,8,4,1,0,2,1,1,0,0.33,0,3,2,3,2,19,9,7,4,4,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,UCLA Bruins,Michigan Wolverines,2024,UCLA Bruins,UCLA Bruins - Michigan Wolverines 3:3,United States. NCAA D1 Big Ten,9/22/24,LCMF3,67,55,37,0,0,1,0,0.09,33,29,2,1,0,0,0,0,13,8,2,1,5,5,1,8,3,0,0,6,3,2,2,0,0,0,2,0,0,1,3,2,2,0,1,3,0,0,0.03,0,3,2,1,1,24,2,1,10,10,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,Wisconsin Badgers,UCLA Bruins,2024,UCLA Bruins,Wisconsin Badgers - UCLA Bruins 4:1,United States. NCAA D1 Big Ten,9/17/24,RCMF3,49,33,24,0,0,2,0,0.1,21,19,0,0,1,0,1,1,9,5,0,0,0,5,2,1,0,0,0,4,3,3,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,2,1,0,0,16,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0
